RNA15_PP_Hyb1_total	RNA16_PP_Hyb2_total	RNA24_PP_Hyb1_total	RNA25_PP_Hyb2_total	gene	mean	bins
0.412821631317581	0.86798460050831	0.601893170213748	1.32339941692299	ABCA10	0.801524704740657	1
0.37904367612238	1.94323082185948	0.186924035458415	0.714571071930244	TMEM119	0.80594240134263	1
0.565979950226392	1.0078796093422	0.744295977477892	0.977168990486591	EPB42	0.823831131883269	1
1.58420354564562	0.352637591240016	1.13635537737393	0.241335910159204	GC	0.828633106104693	1
0.725712720571241	0.598360491615415	1.05173672886243	0.992732636527651	HCLS1	0.842135644394184	1
0.811071952132836	0.458297613925455	1.64093225503059	0.487895109247964	CLDN20	0.849549232584211	1
0.925764624126006	0.542057983599664	1.48209281476242	0.584559188294728	LYSMD2	0.883618652695704	1
0.580954589763002	1.43139135863701	0.620740643408004	1.13577584881253	VWF	0.942215610155136	1
0.713283135209019	1.06428244652281	0.908695330766717	1.19526886946462	RHBG	0.970382445490792	1
0.953917272277264	0.99590571181869	1.13131896640857	1.20296592246838	PPARGC1B	1.07102696824323	1
0.308339961148606	2.32456871710404	0.149389088579215	1.50475813030813	ATOH8	1.071763974285	1
1.20130102800372	0.985387312756904	0.8688787251016	1.328615874252	SLC30A8	1.09604573502856	1
0.567429784693723	1.46003113369137	0.531195065956542	1.83725154352042	STUM	1.09897688196551	1
0.974258332914822	1.02061230946688	1.10949744402055	1.40257082718468	CCDC9B	1.12673472839673	1
0.946522852891813	1.73105860169225	0.276607031246907	1.5534791913824	ELN	1.12691691930334	1
1.42550712969351	0.997267486025692	1.33901666869059	0.955505162657864	MT1F	1.17932411176691	1
2.06021690811482	0.50445596015557	1.76104692743706	0.402775819106035	NCF2	1.18212390370337	1
1.54569040058102	0.425780083429207	2.31216349598118	0.474862196859534	ALDOB	1.18962404421274	1
0.760635545025416	1.62965239775257	0.458461303774197	2.01814619829561	KLK1	1.21672386121195	1
0.836328262036477	1.32889009709005	0.725412833053685	1.98788523937852	KCNIP4	1.21962910788968	1
1.24630843619428	1.07177604189662	1.40644903061669	1.18515510852009	LRRK1	1.22742215430692	1
0.986379552789234	2.67893657849902	0.402562389906535	0.899281275530608	COL15A1	1.24178994918135	1
0.905694819824465	1.32609228861417	1.03813660322418	1.71595653736907	ALPK1	1.24647006225797	1
2.03660167180555	0.627959390600658	1.78549838669878	0.573011896021337	SERPINA3	1.25576783628158	1
0.876652086193517	1.45227484079826	1.14143325706646	1.76477636424769	KCNC4	1.30878413707648	1
1.18077787247357	1.27408925410213	1.07905772021241	1.78862202806592	C11orf65	1.33063671871351	1
0.829238010361885	1.96303656828694	0.674206681309792	1.96040015516834	SLC8A1	1.35672035378174	1
0.342623859640263	2.40551548986143	0.314939203009828	2.40008049965995	CACNA1A	1.36578976304287	1
0.415771435862698	2.81300602455115	0.201439072734608	2.32240013148804	RASD2	1.43815416615912	1
1.51081561864155	1.53231593478748	1.36349628613882	1.38168856501145	SYN3	1.44707910114482	1
1.76864453108907	0.862455549464683	2.00064123475108	1.26420613511034	APOL6	1.47398686260379	1
1.94534980186867	1.11143687313108	1.6661398044846	1.29280635028192	NAPEPLD	1.50393320744157	1
0.980393954199425	1.7942262541695	1.06331882424332	2.21308123251535	CACNA2D4	1.5127550662819	1
0.831102224506937	2.80689876006015	0.791444320345205	1.76088717376484	ISLR	1.54758311966928	1
0.241973347049254	3.15094645584706	0.318208778939221	2.48203907408072	CLDN5	1.54829191397906	1
1.06277383323186	1.70147956268242	1.36177221207759	2.10057276571916	C1orf162	1.55664959342776	1
2.06774072949404	1.08101509936862	2.03817305164997	1.07799130307168	XKR4	1.56623004589608	1
0.284557745249158	3.5016455725231	0.28785361235229	2.24971383846416	ADAMTS4	1.58094269214718	1
1.99944300912194	1.48251621275232	1.48134186771102	1.38425388578654	PCSK1	1.58688874384295	1
1.25473691341283	2.09272302443636	1.19568894426952	1.95023618817178	HOGA1	1.62334626757262	1
0.6777740399997	2.70349098255185	0.373775829743707	2.80888184324185	INSC	1.64098067388428	1
0.701767550319887	2.1858018432938	0.800720609410226	2.95145882557086	CALCRL	1.65993720714869	1
0.712200763228428	2.16426044842878	1.00348360967728	2.91259877523813	NOS3	1.69813589914315	1
1.70930500646894	1.98479644129192	1.8075364269816	1.47645932654927	MYO1F	1.74452430032293	1
1.6031194132615	1.83458325868124	1.57811040134101	1.96280272394276	BCL11A	1.74465394930663	1
