RNA17_CM_Hyb1_total	RNA19_CM_Hyb2_total	RNA3_CM_Hyb1_total	RNA4_CM_Hyb2_total	gene	mean	bins
1.85806773560153	1.31446088842306	1.45593219726082	1.62669960075854	TUBA8	1.56379010551099	1
1.19157166577032	1.49239944996519	1.79836096406611	1.89478488763695	GPA33	1.59427924185964	1
1.89191018247672	1.15001936733672	2.00615930446121	1.33911930608824	ESYT3	1.59680204009072	1
1.70086736415043	1.65883616906911	1.46612884539077	1.62278671273222	RSAD2	1.61215477283563	1
2.40694284053057	0.818530653605699	2.3411622159377	0.903695139475658	SLC5A1	1.61758271238741	1
1.69929707111845	1.62339313336999	1.88718617202845	1.45761003689804	CDH23	1.66687160335373	1
1.4994059637355	1.57341800760462	1.87032587637012	1.8400494726144	GPR68	1.69579983008116	1
1.49340911366766	2.21356427092305	1.26888440304663	1.86269730016005	PREX2	1.70963877194935	1
1.21559925563175	2.22412716028467	1.10059702208555	2.30472183277393	IL15RA	1.71126131769398	1
2.38211779774134	1.21174544803987	1.88486063443371	1.37428275293872	KCNT1	1.71325165828841	1
0.78141454735792	2.33271845469582	0.570870050860697	3.21354586113015	ABCA10	1.72463722851115	1
1.08597664035079	2.69355612218793	1.27820862521374	1.88386071231379	TNFSF10	1.73540052501656	1
1.14884422770224	2.53165967255563	1.38600970773342	1.94863103327599	IL1R2	1.75378616031682	1
2.11383187115176	1.64574091481888	1.86600569678353	1.46380174627774	SENP8	1.77234505725798	1
2.09878519676445	1.36200010309277	2.38903767931475	1.48206728853305	TXNRD2	1.83297256692625	1
2.29085324903052	1.00417406462066	3.07180715587974	1.01445457137273	GRHL3	1.84532226022591	1
2.92878517546282	0.864757077312132	3.24951012624285	0.625529300893992	KCNMA1	1.91714541997795	1
3.74267723280981	0.456676649936374	3.15021576154321	0.346014001573135	DHRS7C	1.92389591146563	1
1.1118089940486	2.39171224194954	1.32497131189732	2.89501778606338	RGS1	1.93087758348971	1
1.86156679542817	1.90581017343135	1.64331624128617	2.34648548861525	PP2D1	1.93929467469024	1
2.3636624183843	1.48270945226666	2.44841934844277	1.68512523298676	NMNAT3	1.99497911302012	1
2.63343595450815	1.7585430236662	1.93877414064014	1.65516762954922	FGF12	1.99648018709093	1
2.58179995540014	1.89646796669884	2.14236254124634	1.47796733038572	ZNF540	2.02464944843276	1
0.279829685446088	4.69827733694014	0.164681589013048	3.26313435025578	GIMAP7	2.10148074041376	1
3.60178894384742	0.742806947353762	3.4919521347444	0.612468321151904	C10orf71	2.11225408677437	1
2.64708370948244	1.44128339116539	2.99808017117766	1.39978287490523	DOCK3	2.12155753668268	1
2.63765869762028	1.82518036163785	2.47183604418597	1.79321048167793	MGLL	2.18197139628051	1
0.797448915801763	3.8121422823562	1.38835728515167	2.74748113080114	BCL2L14	2.18635740352769	1
2.82623326232571	1.7547287367418	2.3701407230709	1.79766076291507	NCEH1	2.18719087126337	1
2.33710490097995	1.89398405076943	2.58738882376879	1.93790466958301	TMTC1	2.18909561127529	1
2.61384579534541	1.74841560553094	2.49876972490047	1.8959985032049	EPM2A	2.18925740724543	1
1.82426231347657	2.45903179587744	2.36975404585416	2.20512661167579	SGMS2	2.21454369172099	1
1.60210930079543	2.88575547085597	2.01206505035982	2.4425479633803	ALDH1L1	2.23561944634788	1
2.75625649931123	1.68879718945841	2.69438610595471	1.83110168742327	IKZF2	2.24263537053691	1
3.31939674134949	1.17458267949073	3.23006731390388	1.3195896986847	TRMT9B	2.2609091083572	1
3.37163949731145	1.43823849326367	3.00054559231035	1.39484433923919	LPL	2.30131698053117	1
2.76663160072845	1.88453012413092	3.04212706459293	1.62082272387135	RSPH14	2.32852787833091	1
1.34687667077793	2.90311728291305	1.96019133533267	3.19090925462625	CDH6	2.35027363591248	1
2.78604655933005	2.20031625303935	2.99071083251531	1.6902865548944	SRCIN1	2.41684004994478	1
2.17411572988463	2.6348933676859	2.48687903105588	2.53202155050576	CASP1	2.45697741978304	1
2.21246040227771	2.54232399830961	2.5422205092233	2.60954228258917	NLRC5	2.47663679809995	1
2.62509263682521	2.38738032002902	2.48340116194195	2.54980581378714	C12orf45	2.51141998314583	1
3.16244562689832	1.92126395019288	2.74270287786943	2.24971827715621	DOK2	2.51903268302921	1
1.9556572371932	3.21449270724128	2.30692654809245	2.82083644473676	VEPH1	2.57447823431592	1
3.11678812337357	2.18625375907868	2.88379423138951	2.13354250172242	ANGPT2	2.58009465389105	1
3.06865647676083	2.1316341308137	2.74703975810161	2.40545764299736	THAP2	2.58819700216837	1
3.01892781356105	2.25862733945575	2.56628470777973	2.53363222065258	ZNF233	2.59436802036228	1
3.24709181807403	2.16902637946737	3.2222757988477	1.80077341910045	RETREG1	2.60979185387239	1
2.97203167145464	2.6982304193852	2.62358993903034	2.30989600684509	GLRB	2.65093700917882	1
2.22908948905217	3.17627788985378	3.00340863178272	2.25735060678179	BMP8B	2.66653165436762	1
4.82767505775637	0.682462750640503	4.52665198339708	0.696078973343615	C5orf63	2.68321719128439	1
2.3731121155888	2.49025109079184	3.47830437276431	2.42081191705592	APOBEC3D	2.69061987405022	1
5.03585468242527	0.796283830306359	4.17141524847275	1.12438214181618	KLHL38	2.78198397575514	1
2.63436420123162	3.43455610634559	2.83641833794115	2.45948020751606	VDR	2.8412047132586	1
2.62361163031108	2.77644697688983	2.41415513789577	3.67697455086209	HCLS1	2.87279707398969	1
3.85999957128611	2.14748068036345	3.88478932389484	1.69985606118115	DAPK2	2.89803140918139	1
2.47941075620908	3.42154090404639	3.50795494004728	2.21436506993553	F2RL3	2.90581791755957	1
3.32024255375487	2.67728095521032	2.40648596092955	3.3345497484937	ASB14	2.93463980459711	1
3.82378644816319	2.20571936126852	3.77027831465357	2.04458470953257	ARHGAP30	2.96109220840446	1
3.27150653054267	2.19711428622702	3.38853303494644	3.08664215933373	CHADL	2.98594900276247	1
0.601816252358898	5.05217960516346	0.871265030988035	5.45479598525914	COL8A1	2.99501421844238	1
2.02160808540012	3.92313051658474	2.2246311891205	3.91925803161181	TAGAP	3.02215695567929	1
4.54522171930222	1.76651037135943	4.18571145830661	1.76228806083673	DOK7	3.06493290245125	1
2.96108255326606	3.14980927493548	3.17490372838504	2.999303075272	MMAA	3.07127465796464	1
4.15665082537085	2.75757644688574	2.98360543918458	2.52956612680376	SLC16A7	3.10684970956123	1
1.47110995859766	5.02700285403313	3.32983759263557	2.69918583905386	ST6GALNAC2	3.13178406108005	1
2.15617605523822	4.56561743196845	1.8354073868309	3.97969045127945	SQOR	3.13422283132926	1
2.63198244515021	3.8258502247368	2.57475311560078	3.74906786085704	GUCY1A2	3.19541341158621	1
2.87771427730955	3.60675542924062	3.03961772820295	3.29611429939201	SYNE3	3.20505043353628	1
3.10514827718652	3.04820049985837	3.51479747908365	3.1656837837867	MFSD2B	3.20845750997881	1
