Peak.Humreffed	Peak.Chpreffed	ATAC11_SKM_Hyb1_Human_humreffed_all_peaks.txt	ATAC11_SKM_Hyb1_Chimp_humreffed_all_peaks.txt	Sum Human	Sum Chimp	Binomial p-value
peak_CM_HP_MN_PP_SKM_152605_promoter_SERPINB8	peak_CM_HP_MN_PP_SKM_152605_promoter_SERPINB8	40	79	40	79	0.0004453106769171578
peak_MN_SKM_263464_enhancer_IRX2_97564.0_C5orf38_97906.5	peak_MN_SKM_263464_enhancer_IRX2_97591.0_C5orf38_97933.5	6	28	6	28	0.00019512558355927467
peak_CM_HP_MN_PP_SKM_310352_enhancer_TYW1_305764.5_SBDS_307136.5	peak_CM_HP_MN_PP_SKM_310352_enhancer_SH2B2_73403.5_TYW1_1263914.0	40	86	40	86	5.1032651789602666e-05
peak_CM_HP_MN_PP_145439_enhancer_ACTG1_6771.0_FSCN2_9052.5	peak_CM_HP_MN_PP_145439_enhancer_ACTG1_6718.0_FSCN2_9041.5	6	26	6	26	0.0005350527353584766
peak_CM_HP_MN_PP_SKM_193240_enhancer_IGFBP5_3308.0_IGFBP2_58789.5	peak_CM_HP_MN_PP_SKM_193240_enhancer_IGFBP5_3304.0_IGFBP2_58835.5	31	8	31	8	0.0002940768754342571
peak_CM_HP_MN_PP_SKM_7283_enhancer_FAM167B_6454.5_LCK_10502.0	peak_CM_HP_MN_PP_SKM_7283_enhancer_FAM167B_6395.5_LCK_10239.5	24	52	24	52	0.001761872002940625
peak_CM_HP_MN_PP_SKM_33002_promoter_ZNF670	peak_CM_HP_MN_PP_SKM_33002_promoter_ZNF670	20	51	20	51	0.000303163413558493
peak_CM_HP_MN_SKM_325857_enhancer_CLU_2529.5_CLU_5501.5	peak_CM_HP_MN_SKM_325857_enhancer_CLU_2522.5_CLU_5486.5	29	8	29	8	0.0007528970600105822
peak_CM_HP_MN_PP_SKM_107486_enhancer_GTF2A1_50528.5_TSHR_215094.5	peak_CM_HP_MN_PP_SKM_107486_enhancer_GTF2A1_65413.0_TSHR_213951.0	37	10	37	10	9.848878492846323e-05
peak_CM_HP_MN_PP_SKM_281640_promoter_CLK4	peak_CM_HP_MN_PP_SKM_281640_promoter_CLK4	22	54	22	54	0.0003129786008370502
peak_CM_HP_MN_PP_SKM_317272_promoter_ING3	peak_CM_HP_MN_PP_SKM_317272_promoter_ING3	30	59	30	59	0.002785268996304216
peak_MN_PP_135759_enhancer_CDRT15L2_41541.5_LGALS9B_153731.5	peak_MN_PP_135759_enhancer_CDRT15L2_19550.0_ADORA2B_140183.5	7	26	7	26	0.0013187271542847157
peak_CM_HP_MN_PP_SKM_121805_enhancer_FLYWCH1_7437.0_FLYWCH2_21290.5	peak_CM_HP_MN_PP_SKM_121805_enhancer_FLYWCH1_7422.0_FLYWCH2_21249.5	51	21	51	21	0.0005349642016498918
peak_CM_HP_MN_PP_SKM_341754_enhancer_FREM1_83044.5_CER1_270532.5	peak_CM_HP_MN_PP_SKM_341754_enhancer_FREM1_83214.0_CER1_270833.0	37	12	37	12	0.0004697573180081349
peak_CM_HP_MN_PP_SKM_113719_promoter_LEO1	peak_CM_HP_MN_PP_SKM_113719_promoter_LEO1	39	70	39	70	0.003854108187381302
peak_CM_HP_MN_PP_SKM_19748_promoter_THEM4	peak_CM_HP_MN_PP_SKM_19748_promoter_THEM4	29	57	29	57	0.0033532746580679047
peak_CM_HP_MN_PP_SKM_64859_promoter_FUT4_PIWIL4	peak_CM_HP_MN_PP_SKM_64859_promoter_FUT4_PIWIL4	27	55	27	55	0.0026424928957725444
peak_CM_HP_MN_PP_SKM_323845_promoter_FAM86B2	peak_CM_HP_MN_PP_SKM_323845_promoter_FAM86B2_FAM86B1	49	83	49	83	0.003905121708027009
peak_CM_HP_MN_PP_SKM_191752_promoter_CYP20A1	peak_CM_HP_MN_PP_SKM_191752_promoter_CYP20A1	80	40	80	40	0.00033040001839131794
peak_CM_HP_MN_PP_SKM_138474_enhancer_ARL4D_30231.0_DHX8_115120.5	peak_CM_HP_MN_PP_SKM_138474_enhancer_ARL4D_30302.0_CALCOCO2_37146.5	9	28	9	28	0.0025632079923525453
peak_HP_MN_PP_78773_promoter_INHBE	peak_HP_MN_PP_78773_promoter_INHBE	17	40	17	40	0.0032015437674503813
peak_CM_HP_MN_PP_SKM_357524_promoter_RRAGB	peak_CM_HP_MN_PP_SKM_357524_promoter_RRAGB	19	43	19	43	0.0031560602510210594
peak_CM_HP_MN_PP_SKM_81291_promoter_SYT1	peak_CM_HP_MN_PP_SKM_81291_promoter_SYT1	18	42	18	42	0.002670436282807066
peak_CM_HP_MN_PP_SKM_273554_enhancer_TNFAIP8_87228.5_HSD17B4_96493.5	peak_CM_HP_MN_PP_SKM_273554_enhancer_TNFAIP8_89191.5_HSD17B4_96493.5	13	35	13	35	0.0020881073339964478
peak_CM_HP_MN_PP_SKM_109441_enhancer_CYP46A1_46307.0_EML1_62820.0	peak_CM_HP_MN_PP_SKM_109441_enhancer_CYP46A1_45927.5_EML1_63250.0	28	8	28	8	0.0011932429624721408
