RNA15_PP_Hyb1_total	RNA16_PP_Hyb2_total	RNA24_PP_Hyb1_total	RNA25_PP_Hyb2_total	gene	mean	bins
0	0	0	0.0488754741585114	CCL16	0.0122188685396279	1
0	0.0339763561270652	0	0.0154951798783029	C1QTNF7	0.012367884001342	1
0.023520232896311	0	0	0.026072811712045	GALNTL5	0.012398261152089	1
0.0215283124827476	0	0.0283494632726533	0	DDX53	0.0124694439388502	1
0	0.0262292583320527	0	0.0239241120742714	C13orf42	0.012538342601581	1
0.0503484727419096	0	0	0	SSX2	0.0125871181854774	1
0	0	0.0506489918005758	0	SPATA48	0.0126622479501439	1
0	0	0	0.0521456234240899	SPACA1	0.0130364058560225	1
0	0	0	0.0522874519556151	CLCA1	0.0130718629889038	1
0	0	0	0.0523032583195678	GDF2	0.013075814579892	1
0	0	0.0524588077403616	0	DNTT	0.0131147019350904	1
0	0	0	0.0525734361960287	DCAF4L2	0.0131433590490072	1
0	0	0	0.0531385683418705	CD48	0.0132846420854676	1
0	0.053858602003806	0	0	TMEM174	0.0134646505009515	1
0	0	0	0.0542379869972196	IL5	0.0135594967493049	1
0.0542699115090125	0	0	0	LRRC72	0.0135674778772531	1
0.0543076776269728	0	0	0	ACTRT1	0.0135769194067432	1
0.0555445784697224	0	0	0	CCL18	0.0138861446174306	1
0.0173499628167986	0	0	0.0384658022501402	PTPN22	0.0139539412667347	1
0	0.0561545281993501	0	0	GNGT2	0.0140386320498375	1
0.0267627341392181	0	0	0.0296672116805779	KRT6C	0.014107486454949	1
0	0.0565563495102578	0	0	HOXC9	0.0141390873775645	1
0.025595320678898	0.0311069196879969	0	0	ASZ1	0.0141755600917237	1
