RNA26_RPE_Hyb1_total	RNA27_RPE_Hyb1_total	RNA28_RPE_Hyb2_total	RNA29_RPE_Hyb2_total	gene	mean	bins
0	0	0.0560683127178022	0	CCL4	0.0140170781794506	1
0.0277381626101253	0	0	0.0284537861226038	SYCP1	0.0140479871831823	1
0	0	0	0.0567748586905313	DDO	0.0141937146726328	1
0	0	0.0257919951014648	0.0310049151891236	OR56A4	0.0141992275726471	1
0	0.0570190422708852	0	0	NOBOX	0.0142547605677213	1
0	0	0.0575991881503702	0	C9orf57	0.0143997970375925	1
0	0	0.0575991881503702	0	CCDC105	0.0143997970375925	1
0.0189468081823593	0	0	0.03887124286524	OAS2	0.0144545127618998	1
0	0	0.0578184465750005	0	PIWIL1	0.0144546116437501	1
0	0	0	0.0578542286276137	C12orf80	0.0144635571569034	1
0	0.031457241858585	0.0264384785295955	0	TRIM10	0.0144739300970451	1
0	0	0	0.0590612794917512	CCK	0.0147653198729378	1
0	0.0594675401374039	0	0	MNDA	0.014866885034351	1
0.0602354617492976	0	0	0	MAGEB1	0.0150588654373244	1
0	0	0.0465132626404919	0.0139785596040996	TMC1	0.0151229555611479	1
0	0.0605129263276647	0	0	CRLF2	0.0151282315819162	1
0	0	0	0.0610764159721521	C9orf62	0.015269103993038	1
0	0.0614386722684245	0	0	KCNA10	0.0153596680671061	1
0	0	0	0.0620414357963808	C22orf42	0.0155103589490952	1
0	0.0621357588026717	0	0	GFRAL	0.0155339397006679	1
0.0307818053556722	0	0	0.0315759525376133	CYP4A22	0.0155894394733214	1
0	0	0	0.0630048121286228	CABP4	0.0157512030321557	1
0.0633211630982477	0	0	0	OR6K3	0.0158302907745619	1
0	0	0.0634855001682451	0	CASP5	0.0158713750420613	1
0.0342761004177112	0	0.0292488078475883	0	PIRT	0.0158812270663249	1
0.0638320923324993	0	0	0	FFAR3	0.0159580230831248	1
0	0	0.0639263716971912	0	PRKACG	0.0159815929242978	1
0	0.0639836624101861	0	0	AMY2A	0.0159959156025465	1
0.0641079738768861	0	0	0	TFAP2D	0.0160269934692215	1
0.064421205019607	0	0	0	NKX2-8	0.0161053012549018	1
0	0.0645319958855814	0	0	OR4E1	0.0161329989713953	1
0	0	0.0646198932791007	0	GZMK	0.0161549733197752	1
0	0.0429599701616617	0	0.0217017823199321	RNF17	0.0161654381203984	1
0	0	0	0.0650937417286092	ELOA3D	0.0162734354321523	1
0	0	0	0.0651983379927687	ACCSL	0.0162995844981922	1
0.0168031520314523	0.0170604979210394	0.0143386254274074	0.017236660582342	MYPN	0.0163597339905603	1
0	0	0.019269148005395	0.0463274203739293	TDRD1	0.0163991420948311	1
